Contract;Date and time;kWh;Consumption code;Average temperature (°C);Temperature code
0312316267;2018-10-11 16:00:00;0.17;R;9;R
0312316267;2018-10-11 15:00:00;0.09;R;9;R
0312316267;2018-10-11 14:00:00;1.14;R;9;R
0312316267;2018-10-11 13:00:00;2.74;R;9;R
0312316267;2018-10-11 12:00:00;3.64;R;8;R
0312316267;2018-10-11 11:00:00;0.20;R;8;R
0312316267;2018-10-11 10:00:00;0.17;R;8;R
0312316267;2018-10-11 09:00:00;0.27;R;8;R
0312316267;2018-10-11 08:00:00;0.11;R;8;R
0312316267;2018-10-11 07:00:00;0.18;R;8;R
0312316267;2018-10-11 06:00:00;0.06;R;8;R
0312316267;2018-10-11 05:00:00;0.67;R;8;R
0312316267;2018-10-11 04:00:00;0.11;R;8;R
0312316267;2018-10-11 03:00:00;0.05;R;8;R
0312316267;2018-10-11 02:00:00;0.09;R;8;R
0312316267;2018-10-11 01:00:00;0.12;R;8;R
0312316267;2018-10-11 00:00:00;0.06;R;9;R
0312316267;2018-10-10 23:00:00;0.14;R;9;R
0312316267;2018-10-10 22:00:00;0.08;R;9;R
0312316267;2018-10-10 21:00:00;0.20;R;9;R
0312316267;2018-10-10 20:00:00;0.55;R;10;R
0312316267;2018-10-10 19:00:00;2.17;R;10;R
0312316267;2018-10-10 18:00:00;1.71;R;10;R
0312316267;2018-10-10 17:00:00;0.19;R;11;R
0312316267;2018-10-10 16:00:00;0.37;R;11;R
0312316267;2018-10-10 15:00:00;0.45;R;11;R
0312316267;2018-10-10 14:00:00;2.45;R;11;R
0312316267;2018-10-10 13:00:00;1.43;R;12;R
0312316267;2018-10-10 12:00:00;1.16;R;12;R
0312316267;2018-10-10 11:00:00;0.37;R;12;R
0312316267;2018-10-10 10:00:00;0.96;R;11;R
0312316267;2018-10-10 09:00:00;0.35;R;12;R
0312316267;2018-10-10 08:00:00;0.24;R;12;R
0312316267;2018-10-10 07:00:00;0.07;R;14;R
0312316267;2018-10-10 06:00:00;0.08;R;19;R
0312316267;2018-10-10 05:00:00;0.09;R;20;R
0312316267;2018-10-10 04:00:00;0.10;R;20;R
0312316267;2018-10-10 03:00:00;0.09;R;21;R
0312316267;2018-10-10 02:00:00;0.10;R;20;R
0312316267;2018-10-10 01:00:00;0.09;R;21;R
0312316267;2018-10-10 00:00:00;0.64;R;21;R
0312316267;2018-10-09 23:00:00;0.07;R;22;R
0312316267;2018-10-09 22:00:00;0.14;R;22;R
0312316267;2018-10-09 21:00:00;0.19;R;22;R
0312316267;2018-10-09 20:00:00;0.63;R;21;R
0312316267;2018-10-09 19:00:00;0.96;R;22;R
0312316267;2018-10-09 18:00:00;0.34;R;22;R
0312316267;2018-10-09 17:00:00;0.25;R;24;R
0312316267;2018-10-09 16:00:00;0.15;R;24;R
0312316267;2018-10-09 15:00:00;0.55;R;26;R
0312316267;2018-10-09 14:00:00;0.09;R;27;R
0312316267;2018-10-09 13:00:00;0.11;R;26;R
0312316267;2018-10-09 12:00:00;3.18;R;25;R
0312316267;2018-10-09 11:00:00;1.88;R;22;R
0312316267;2018-10-09 10:00:00;1.17;R;20;R
0312316267;2018-10-09 09:00:00;1.41;R;18;R
0312316267;2018-10-09 08:00:00;0.06;R;14;R
0312316267;2018-10-09 07:00:00;0.13;R;12;R
0312316267;2018-10-09 06:00:00;0.06;R;10;R
0312316267;2018-10-09 05:00:00;0.12;R;9;R
0312316267;2018-10-09 04:00:00;0.09;R;9;R
0312316267;2018-10-09 03:00:00;0.10;R;9;R
0312316267;2018-10-09 02:00:00;0.66;R;9;R
0312316267;2018-10-09 01:00:00;0.07;R;9;R
0312316267;2018-10-09 00:00:00;0.12;R;9;R
0312316267;2018-10-08 23:00:00;0.12;R;8;R
0312316267;2018-10-08 22:00:00;0.21;R;8;R
0312316267;2018-10-08 21:00:00;0.30;R;8;R
0312316267;2018-10-08 20:00:00;0.84;R;8;R
0312316267;2018-10-08 19:00:00;0.51;R;8;R
0312316267;2018-10-08 18:00:00;1.84;R;8;R
0312316267;2018-10-08 17:00:00;0.58;R;8;R
0312316267;2018-10-08 16:00:00;0.55;R;9;R
0312316267;2018-10-08 15:00:00;0.67;R;9;R
0312316267;2018-10-08 14:00:00;0.58;R;10;R
0312316267;2018-10-08 13:00:00;1.04;R;11;R
0312316267;2018-10-08 12:00:00;1.63;R;11;R
0312316267;2018-10-08 11:00:00;0.39;R;10;R
0312316267;2018-10-08 10:00:00;0.15;R;10;R
0312316267;2018-10-08 09:00:00;0.20;R;9;R
0312316267;2018-10-08 08:00:00;0.11;R;8;R
0312316267;2018-10-08 07:00:00;0.06;R;7;R
0312316267;2018-10-08 06:00:00;0.11;R;7;R
0312316267;2018-10-08 05:00:00;0.05;R;6;R
0312316267;2018-10-08 04:00:00;0.12;R;6;R
0312316267;2018-10-08 03:00:00;0.06;R;6;R
0312316267;2018-10-08 02:00:00;0.70;R;6;R
0312316267;2018-10-08 01:00:00;0.09;R;6;R
0312316267;2018-10-08 00:00:00;0.07;R;6;R
0312316267;2018-10-07 23:00:00;0.12;R;6;R
0312316267;2018-10-07 22:00:00;0.09;R;7;R
0312316267;2018-10-07 21:00:00;0.11;R;7;R
0312316267;2018-10-07 20:00:00;0.04;R;6;R
0312316267;2018-10-07 19:00:00;0.09;R;6;R
0312316267;2018-10-07 18:00:00;0.06;R;9;R
0312316267;2018-10-07 17:00:00;0.57;R;9;R
0312316267;2018-10-07 16:00:00;0.09;R;9;R
0312316267;2018-10-07 15:00:00;0.06;R;10;R
0312316267;2018-10-07 14:00:00;1.61;R;10;R
0312316267;2018-10-07 13:00:00;1.31;R;10;R
0312316267;2018-10-07 12:00:00;2.48;R;10;R
0312316267;2018-10-07 11:00:00;3.18;R;9;R
0312316267;2018-10-07 10:00:00;0.37;R;9;R
0312316267;2018-10-07 09:00:00;0.44;R;9;R
0312316267;2018-10-07 08:00:00;0.10;R;9;R
0312316267;2018-10-07 07:00:00;0.04;R;9;R
0312316267;2018-10-07 06:00:00;0.09;R;9;R
0312316267;2018-10-07 05:00:00;0.07;R;9;R
0312316267;2018-10-07 04:00:00;0.06;R;10;R
0312316267;2018-10-07 03:00:00;0.10;R;10;R
0312316267;2018-10-07 02:00:00;0.54;R;10;R
0312316267;2018-10-07 01:00:00;0.10;R;10;R
0312316267;2018-10-07 00:00:00;0.09;R;10;R
0312316267;2018-10-06 23:00:00;0.06;R;9;R
0312316267;2018-10-06 22:00:00;0.57;R;9;R
0312316267;2018-10-06 21:00:00;0.63;R;9;R
0312316267;2018-10-06 20:00:00;0.77;R;9;R
0312316267;2018-10-06 19:00:00;2.10;R;9;R
0312316267;2018-10-06 18:00:00;1.38;R;9;R
0312316267;2018-10-06 17:00:00;0.12;R;10;R
0312316267;2018-10-06 16:00:00;1.53;R;10;R
0312316267;2018-10-06 15:00:00;0.50;R;11;R
0312316267;2018-10-06 14:00:00;1.45;R;11;R
0312316267;2018-10-06 13:00:00;0.73;R;11;R
0312316267;2018-10-06 12:00:00;0.49;R;11;R
0312316267;2018-10-06 11:00:00;1.71;R;10;R
